"Month","Nights","obs","year"
"2000M01",154,1,2000
"2000M02",111,2,2000
"2000M03",112,3,2000
"2000M04",109,4,2000
"2000M05",77,5,2000
"2000M06",76,6,2000
"2000M07",102,7,2000
"2000M08",105,8,2000
"2000M09",115,9,2000
"2000M10",107,10,2000
"2000M11",102,11,2000
"2000M12",110,12,2000
"2001M01",148,13,2001
"2001M02",114,14,2001
"2001M03",999999,15,2001
"2001M04",111,16,2001
"2001M05",80,17,2001
"2001M06",82,18,2001
"2001M07",108,19,2001
"2001M08",113,20,2001
"2001M09",NA,21,2001
"2001M10",114,22,2001
"2001M11",105,23,2001
"2001M12",116,24,2001
"2002M01",155,25,2002
"2002M02",123,26,2002
"2002M03",149,27,2002
"2002M04",101,28,2002
"2002M05",87,29,2002
"2002M06",87,30,2002
"2002M07",115,31,2002
"2002M08",999999,32,2002
"2002M09",129,33,2002
"2002M10",131,34,2002
"2002M11",111,35,2002
"2002M12",117,36,2002
"2003M01",161,37,2003
"2003M02",132,38,2003
"2003M03",145,39,2003
"2003M04",133,40,2003
"2003M05",97,41,2003
"2003M06",79,42,2003
"2003M07",127,43,2003
"2003M08",123,44,2003
"2003M09",136,45,2003
"2003M10",NA,46,2003
"2003M11",109,47,2003
"2003M12",128,48,2003
"2004M01",177,49,2004
"2004M02",140,50,2004
"2004M03",142,51,2004
"2004M04",129,52,2004
"2004M05",94,53,2004
"2004M06",98,54,2004
"2004M07",154,55,2004
"2004M08",133,56,2004
"2004M09",150,57,2004
"2004M10",137,58,2004
"2004M11",129,59,2004
"2004M12",135,60,2004
"2005M01",182,61,2005
"2005M02",153,62,2005
"2005M03",162,63,2005
"2005M04",131,64,2005
"2005M05",999999,65,2005
"2005M06",111,66,2005
"2005M07",143,67,2005
"2005M08",144,68,2005
"2005M09",147,69,2005
"2005M10",141,70,2005
"2005M11",125,71,2005
"2005M12",139,72,2005
"2006M01",190,73,2006
"2006M02",146,74,2006
"2006M03",148,75,2006
"2006M04",124,76,2006
"2006M05",98,77,2006
"2006M06",NA,78,2006
"2006M07",150,79,2006
"2006M08",147,80,2006
"2006M09",165,81,2006
"2006M10",136,82,2006
"2006M11",119,83,2006
"2006M12",136,84,2006
"2007M01",185,85,2007
"2007M02",168,86,2007
"2007M03",159,87,2007
"2007M04",130,88,2007
"2007M05",98,89,2007
"2007M06",100,90,2007
"2007M07",142,91,2007
"2007M08",147,92,2007
"2007M09",152,93,2007
"2007M10",127,94,2007
"2007M11",129,95,2007
"2007M12",140,96,2007
"2008M01",192,97,2008
"2008M02",159,98,2008
"2008M03",173,99,2008
"2008M04",127,100,2008
"2008M05",103,101,2008
"2008M06",93,102,2008
"2008M07",145,103,2008
"2008M08",146,104,2008
"2008M09",147,105,2008
"2008M10",148,106,2008
"2008M11",129,107,2008
"2008M12",134,108,2008
"2009M01",200,109,2009
"2009M02",151,110,2009
"2009M03",151,111,2009
"2009M04",140,112,2009
"2009M05",107,113,2009
"2009M06",94,114,2009
"2009M07",155,115,2009
"2009M08",143,116,2009
"2009M09",152,117,2009
"2009M10",135,118,2009
"2009M11",116,119,2009
"2009M12",145,120,2009
